"PPV","TPR","NPV","TNR","accuracy","F1","grid","Algorithm"
0.964772727272727,0.905011655011655,0.804166666666667,0.933333333333333,0.90625,0.931141774891775,25,"knn-5"
0.907587250712251,0.88001770444143,0.796678046218487,0.852267830209007,0.86280487804878,0.890507087520108,100,"knn-5"
0.837451038477996,0.830775352954804,0.815497911879491,0.825965913766971,0.826923076923077,0.832893499234622,225,"knn-5"
0.792455484330484,0.73974129215582,0.796944081686729,0.841747997182643,0.795081967213115,0.764318535311647,400,"knn-5"
0.758920195202276,0.690144444565885,0.825003016054313,0.869597621936711,0.802083333333333,0.72167281432644,625,"knn-5"
0.731903361343931,0.642361247240022,0.83782862833759,0.886759195414321,0.807489451476793,0.68366155327931,900,"knn-5"
0.722523398299976,0.612540273979895,0.852696644699154,0.905646116976736,0.820778145695364,0.661216278100021,1225,"knn-5"
0.706904323234635,0.60154586320503,0.854491765198406,0.904434315354379,0.819285714285714,0.6478257283017,1600,"knn-5"
0.689821692905167,0.557403233666753,0.872152562051421,0.923256498591892,0.837471131639723,0.615751480565722,2025,"knn-5"
0.663218456116372,0.523444071401769,0.869344512806268,0.922967639680361,0.832657200811359,0.583617582330085,2500,"knn-5"
0.629803926635147,0.475966013757874,0.869856731783638,0.926625576089684,0.83213644524237,0.540939866891348,3025,"knn-5"
0.62931641675553,0.466419602362802,0.871957483846382,0.929944973153045,0.835097719869707,0.533418937473483,3600,"knn-5"
0.602947990240366,0.441503038261999,0.876442645217911,0.932136122043605,0.838481104651163,0.508301157800861,4225,"knn-5"
0.630275671874212,0.45072827583283,0.888687014394451,0.943484847881868,0.856175693527081,0.524656066186376,4900,"knn-5"
0.595169977393248,0.403098529550259,0.881894108347109,0.942358149096436,0.848093480934809,0.479097341737684,5625,"knn-5"
0.575948730065289,0.379623198679298,0.881356570064228,0.942917135660321,0.84712543554007,0.456492451472553,6400,"knn-5"
0.540824905437387,0.35352683877316,0.884207778037163,0.942972636474456,0.848338692390139,0.426307703549132,7225,"knn-5"
0.536074753020603,0.339999561604951,0.89133076293218,0.948306851243517,0.857549504950495,0.414855569002512,8100,"knn-5"
0.533119115311294,0.327595879755769,0.89139617712755,0.950863830317239,0.859169793621013,0.40462123568496,9025,"knn-5"
0.532255060982929,0.293516537277778,0.889840652405405,0.95695727636026,0.861694991055456,0.377675292044878,10000,"knn-5"
