"PPV","TPR","NPV","TNR","accuracy","F1","grid","Algorithm"
0.955492424242424,0.946824009324009,0.872916666666667,0.908333333333333,0.9296875,0.949474872953134,25,"ALL_Features"
0.896433404558405,0.86438244171565,0.769909838935574,0.833445557710264,0.847560975609756,0.878025627537083,100,"ALL_Features"
0.802176516020823,0.885926748696206,0.862429163669972,0.765711584529438,0.825320512820513,0.839435366555144,225,"ALL_Features"
0.775171633837695,0.787100280633229,0.823126518181116,0.814115269028534,0.801229508196721,0.780257440601176,400,"ALL_Features"
0.714498802158518,0.816306183234531,0.88099237847717,0.80651659596516,0.809722222222222,0.761041470295087,625,"ALL_Features"
0.695944086634519,0.749413935918043,0.875724624710041,0.844016492510227,0.813291139240506,0.721245966202077,900,"ALL_Features"
0.67387612860114,0.74820968203302,0.894068042711178,0.854451473733868,0.823261589403974,0.707027709968021,1225,"ALL_Features"
0.65090572548527,0.746472719589698,0.896531646313578,0.845918707499241,0.8175,0.69322623593464,1600,"ALL_Features"
0.595153245912645,0.728559230859936,0.91071845921416,0.847434034567772,0.818995381062356,0.652941778866753,2025,"ALL_Features"
0.60670173773755,0.688561462080561,0.905572105680215,0.869747731793207,0.828600405679513,0.643399846610439,2500,"ALL_Features"
0.536766412355275,0.685984732084497,0.910191872269259,0.844454118923811,0.810816876122083,0.600838684419711,3025,"ALL_Features"
0.553115244543236,0.661458151033231,0.90896491681152,0.863647002077782,0.822068403908795,0.600393665019495,3600,"ALL_Features"
0.549728471182142,0.609135050455797,0.905569946261751,0.881654427417678,0.829033430232558,0.573772982373747,4225,"ALL_Features"
0.551706237161158,0.643011707610682,0.919871239638199,0.888017505275779,0.843956406869221,0.591819499024398,4900,"ALL_Features"
0.497020414214853,0.664446913891655,0.923846941336015,0.858179458314566,0.824261992619926,0.567248284382635,5625,"ALL_Features"
0.500162758019253,0.620953112714664,0.918519555572685,0.872877513744844,0.829994192799071,0.552547485825789,6400,"ALL_Features"
0.482764030032843,0.592844820552071,0.919060334981342,0.87907362185181,0.833199356913183,0.530120837972593,7225,"ALL_Features"
0.435498760925315,0.638625339798436,0.931119697331558,0.854222273199122,0.821905940594059,0.515809026162123,8100,"ALL_Features"
0.449158441689121,0.590106661623265,0.925170371909812,0.874531887557871,0.832199812382739,0.506589295366262,9025,"ALL_Features"
